Отметка времени,"1. Сіздің жасыңыз?
1. Ваш возраст?
","2. Жынысыңыз
2. Ваш пол?","3. Сіздің әлеуметтік статусыңыз
3. Ваш социальный статус","4. Сіздің біліміңіз
4. Ваше образование","5. Тұрғылықты жеріңіз
5. Место проживания ","6. Айлық табысыңыз (жеке басыңыздың)
6. Ваш ежемесячный доход","7.  «Ағза мүшелерінің донорлығын» қандай ақпарат көздерінен білесіз?
7. Из каких источников Вы осведомлены о «донорстве органов»?","8. Қазақстанда ағза мүшелері сатылатын «қара базар» бар деп ойлайсыз ба?
Как Вы считаете, существует ли торговля органами на «черном» рынке в Казахстане?","  9. Ағза мүшелеріне мұқтаж реципиенттердің «Күту парағы» туралы білесіз бе?
Знаете ли Вы о «листе ожидания реципиентов донорских органов»?  ","10. «Ми өлімі» ұғымын қалай түсінесіз?
Как вы понимаете понятие «смерть мозга»?  ","11. «Мәйіт доноры» кімдер бола алады?
Кто может быть «трупным донором»?
","12. Сіз ҚР азаматы ретінде e.gov порталына қайтыс болғаннан кейін донор болуға қатысты келісіміңізді тіркедіңіз бе?
Вы, как гражданин Республики Казахстан, зарегистрировали  свое согласие стать донором после смерти на портале e.gov?  ","13. Сіздің ойыңызша, ми өлімі болған жағдайда ҚР азаматтары донор болуға қатысты келісу/келіспеу шарттарын қандай формада тіркеу тиімді?
Как, по Вашему мнению, лучше регистрировать решение граждан о согласии или несогласии на завещание органов в Казахстан","14. Жақын туысыңызда «ми өлімі» анықталса, оның ағза мүшелерін донорлыққа бересізбе?
Если близкому родственнику поставят диагноз «смерть мозга», вы пожертвуете его органы?
","15 Тірі адамның донор болуына қарағанда, ми өлімі анықталған адамдардың донор болуы тиімді деген көзқарасқа ойыңыз?
Как по Вашему мнению, допустимо ли использование органов трупного донора?  ","15.1. Ми өлімі анықталған адамдардың мульти-орган (барлық ағза мүшелерін) доноры болуын қолдар ма едіңіз?
 Поддерживаете ли вы мультиорганное донорство (донорство более одного органа) в случае с донором с гибелью головного мозга?  ","16. Жақын туыстарыңыздың (балаңыз, ата-анаңыз, бауырыңыз, жұбайыңыз т.б.)  өмірін құтқару үшін,  ағза доноры болуға қаншалықты дайынсыз?
Насколько вы готовы стать донором органа, если бы это было нужно для спасения жизни (ваших детей, родителей, супруга/с","17. Туысқандық байланысы жоқ адамдар арасында ағза мүшелерінің донорлығы коммерциялық негізде, сыйақы беру арқылы жүргізілуіне қалай қарайсыз?
Как Вы считаете, допустимо ли прижизненное донорство органов вне родственных отношений на коммерческой основе, з","18. Донор тапшылығына байланысты қоғамда әлеуметтік-экономикалық теңсіздік орын алуына  көзқарасыңыз? 
Согласны ли вы с тем, что у нас в стране существует социально-экономическое неравенство в связи с дефицитом доноров?","19. Қазақстанда донор болған адамдарға (тірі кезінде) мемлекет тарапынан қандай әлеуметтік көмек көрсетілуі керек деп ойлайсыз? (Үш жауапқа дейін белгілеуге болады)
Какую социальную помощь, по вашему мнению, должно оказывать государство живым донорам в Ка"," 20. Ми өлімі анықталғаннан кейін донор болған адамның отбасына мемлекет тарапынан қандай әлеуметтік көмек көрсетілгенін қалайсыз?
Как вы считаете, какую помощь нужно оказать семье донора органов, который стал им после своей смерти?"
11/20/2024 17:04:24,45-62,Ер адам / Мужчина,Жұмыссыз / Безработный,Орта білім / Среднее образование,Қала / Город,не имею дохода,"Internet (VK, Instagram, Facebook, Twitter)","Жоқ, ҚР заңнамасы бойынша ағза мүшелерін сату/сатып алу заңсыз деп саналады/ Нет, согласно законодательству РК купля-продажа органов считается незаконной",,"Адам іштей есін білгенімен, сыртқа ешқандай белгі көрсете алмайды. / Хотя человек внутри сознателен, внешне он не может проявлять никаких признаков","Жүрегі тоқтап қайтыс болған адам / Человек, умерший от сердечной недостаточности","Ойланып жүрмін / Не уверен, нужно обдумать",Жабық үлгіде (е.gov.kz сайтында) / В закрытой форме (портал е.gov.kz),Иә / Да,"Жүрек, ұйқы безі, бауыр т.б. ағзаларды тірі адамнан алуға келмейтіндіктен, қайтыс болған адамнан алу тиімді / Допустимо только в случаях когда нужен непарный жизненно важный орган (например сердце, поджелудочная железа)","Иә, қолдаймын, қайтыс болған адамның 4-5 ағза мүшесі донорлыққа қолданылса, 4-5 адамның өмірін бірден құтқарады / Поддерживаю, так как это может спасти сразу несколько жизней",Әрқашан дайынмын / Я всегда готов/а,"Оң көзқарастамын, себебі, заңсыз ұрланып антисанитарлы жағдайда ағза мүшесін транспланттап сатқанша, заңды тұрғыда сатуға ерік берілген тиімді / Положительно , потому что, лучше иметь легальное разрешение на продажу, чем в антисанитарном состоянии проводить трансплантацию и продовать незаконно",ҚР ағза мүшелерінің донорлығымен түгел қамтамасыз ете алады / РК может полностью обеспечить донорство органов,Донор болған адамның апталық жүктемесі азайтылуы тиіс (күніне 8 сағаттан аз) / Необходимо снизить рабочую недельную нагрузку донора (менее 8 часов в день) с сохранением прежней заработной платы.,"Донор отбасына әлеуметтік қолдау шаралары (зейнетақы, жәрдемақы, басқа да әлеуметтік көмек шаралары т.б) көрсетілуі тиіс / Семье донора должны быть предусмотрены государственные гарантии по социальной защите (пособия, пенсии, другие льготы в социально-бытовой сфере и т.д.)"
11/20/2024 17:40:41,18-35,Ер адам / Мужчина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,"Кәсіби орта білім(колледж, техникум) / Среднее профессиональное образование (колледж, техникум)",Қала / Город,85000- 250 000 тенге,"Internet (VK, Instagram, Facebook, Twitter)","Иә, интернет желісіндегі хабарландырулардан көрдім / Да, встречал подобную информацию на просторах интернета",Иә / Да,Адам ұзақ уақытқа комада ұйқыға кетеді / Человек в коме надолго засыпает,"«Ми өлімі» анықталған адам / Человек, которому поставили диагноз «смерть мозга».","Ойланып жүрмін / Не уверен, нужно обдумать","Айырмашылығы жоқ (ашық және жабық формада) / Не имеет значения (можно как в открытой, так и в закрытой форме)",Иә / Да,"Тірі адам донор болса денсаулығына зиян келеді, сол себепті,  ми семуі анықталған адамдардың донор болуы дұрыс шешім деп ойлаймын / Да, допустимо, это лучше чем наносить непоправимый вред здоровью живого донора","Жоқ, қолдамаймын, қайтыс болған адамның барлық органдарын алу дұрыс емес деп ойлаймын / Не поддерживаю, так как считаю неправильным извлекать все органы умершего",Әрқашан дайынмын / Я всегда готов/а,"Оң көзқарастамын, әр адам өз ағза мүшесін коммерциялық жағдайда қолдануға ерікті / Положительно, каждый может использовать свои органы на коммерческой основе","Қаржылы адамдар бірден шет ел клиникаларында донор тауып, аз уақыт ішінде өмірлерін құтқара алады / Богатые люди могут сразу найти донора в зарубежных клиниках и спасти жизни за короткое время","Әлеуметтік қорғау бойынша әлеуметтік кепілдемелер (жәрдемақы, зейнетақы, әлеуметтік-тұрмыстық қызметте жеңілдіктер, т.б.) қарастырылуы қажет / Должны быть предоставлены государственные гарантии социальной защиты (пособия, пенсии, льготы по социальным услугам и т.д.).",Донор болған адам отбасына қомақты қаржы бөлінуі тиіс / Семье донора должна быть выделена крупная сумма денег.
11/20/2024 17:41:16,,,Жұмысшы / Рабочий/ в сфере услуги обслуживания,,,,,,,,,,,,,,,,,,
11/20/2024 18:06:51,45-62,Ер адам / Мужчина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,Жоғары білім / Высшее образование,Қала / Город,85000- 250 000 тенге,"Internet (VK, Instagram, Facebook, Twitter)","Жоқ, ҚР заңнамасы бойынша ағза мүшелерін сату/сатып алу заңсыз деп саналады/ Нет, согласно законодательству РК купля-продажа органов считается незаконной",Жоқ / Нет,"Адам іштей есін білгенімен, сыртқа ешқандай белгі көрсете алмайды. / Хотя человек внутри сознателен, внешне он не может проявлять никаких признаков","Жүрегі тоқтап қайтыс болған адам / Человек, умерший от сердечной недостаточности","Ойланып жүрмін / Не уверен, нужно обдумать",Ешқандай үлгіде тіркеудің қажеті жоқ / Это вообще не нужно регистрировать ни в какой форме,Жоқ / Нет,"Жүрек, ұйқы безі, бауыр т.б. ағзаларды тірі адамнан алуға келмейтіндіктен, қайтыс болған адамнан алу тиімді / Допустимо только в случаях когда нужен непарный жизненно важный орган (например сердце, поджелудочная железа)","Иә,  қайтыс болған адам қайта тірілмейді, тірі адамның өмірін құтқару маңызды / Поддерживаю, так как важнее спасти живых",Әрқашан дайынмын / Я всегда готов/а,"Теріс көзқарастамын, бұл адам саудасына алып келетін жағдай / Отрицательно, это ситуация, которая приводит к торговле людьми","Әлеуметтік жағдайы төмен адам кезекті күте жүріп, қайтыс болуы ықтимал / Человек с низким социальным статусом, скорее всего, умрет, ожидая очереди",Тегін өмірлік медициналық сақтандыру берілуі керек / Должна быть предоставлена ​​бесплатная страховка жизни,Донор отбасы өмір бойы тегін медициналық көмек алуға құқылы / Семья донора получает право на пожизненную бесплатную медицинскую помощь.
11/21/2024 4:28:10,36-44,Ер адам / Мужчина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,Жоғары білім / Высшее образование,"Аудан орталықтары, ауыл / Районные центры, село",85000- 250 000 тенге,"Internet (VK, Instagram, Facebook, Twitter)","Иә, интернет желісіндегі хабарландырулардан көрдім / Да, встречал подобную информацию на просторах интернета",Иә / Да,Кез – келген қайтыс болған адамның миы. / Мозг любого умершего человека.,"Жүрегі тоқтап қайтыс болған адам / Человек, умерший от сердечной недостаточности","Ойланып жүрмін / Не уверен, нужно обдумать","Айырмашылығы жоқ (ашық және жабық формада) / Не имеет значения (можно как в открытой, так и в закрытой форме)",Жоқ / Нет,"Тірі адам донор болса денсаулығына зиян келеді, сол себепті,  ми семуі анықталған адамдардың донор болуы дұрыс шешім деп ойлаймын / Да, допустимо, это лучше чем наносить непоправимый вред здоровью живого донора","Иә, қолдаймын, қайтыс болған адамның 4-5 ағза мүшесі донорлыққа қолданылса, 4-5 адамның өмірін бірден құтқарады / Поддерживаю, так как это может спасти сразу несколько жизней",Әрқашан дайынмын / Я всегда готов/а,"Оң көзқарастамын, әр адам өз ағза мүшесін коммерциялық жағдайда қолдануға ерікті / Положительно, каждый может использовать свои органы на коммерческой основе","Қаржылы адамдар бірден шет ел клиникаларында донор тауып, аз уақыт ішінде өмірлерін құтқара алады / Богатые люди могут сразу найти донора в зарубежных клиниках и спасти жизни за короткое время","Ағза донорлығы альтруистік жолмен ерікті түрде жүзеге асуы тиіс, ешқандай көмектің қажеті жоқ / Донорство органов должно быть на сугубо добровольной основе, альтруистическим, никакой помощи оказывать не нужно","Ағза донорлығы альтруистік жолмен ерікті түрде жүзеге асуы тиіс, ешқандай көмектің қажеті жоқ / Донорство органов должно быть на сугубо добровольной основе, альтруистическим, никакой помощи оказывать не нужно."
11/21/2024 4:29:35,36-44,Әйел адам / Женщина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,Жоғары білім / Высшее образование,"Республикалық маңызы бар қала (Астана, Алматы, Шымкент) / Город республиканского значения (Астана, Алматы, Шымкент)",250 000-360 000 тенге,"Жоқ, хабарым жоқ / Нет, не информирован/а",Естімедім,Жоқ / Нет,"Адамның ағза мүшелері медициналық аппарат көмегімен істеп тұрады, адамның миы ешқандай өмірлік белгіні көрсетпейді. / Органы человеческого тела работают с помощью медицинского аппарата, мозг человека не подает никаких признаков жизни","Жүрегі тоқтап қайтыс болған адам / Человек, умерший от сердечной недостаточности",Келісімнен бас тарттым / Отказался/ась  от согласия,"Ашық үлгіде (Жүргізуші куәлігінде, арнайы донор карточкасы, медициналық картада) / В открытой форме (В водительских правах, карточках донора, в медицинской карте)",Иә / Да,"Жүрек, ұйқы безі, бауыр т.б. ағзаларды тірі адамнан алуға келмейтіндіктен, қайтыс болған адамнан алу тиімді / Допустимо только в случаях когда нужен непарный жизненно важный орган (например сердце, поджелудочная железа)","Иә, қолдаймын, қайтыс болған адамның 4-5 ағза мүшесі донорлыққа қолданылса, 4-5 адамның өмірін бірден құтқарады / Поддерживаю, так как это может спасти сразу несколько жизней",Дайын сияқтымын / Я чувствую себя готовым,"Теріс көзқарастамын, бұл адам саудасына алып келетін жағдай / Отрицательно, это ситуация, которая приводит к торговле людьми","Әлеуметтік жағдайы төмен адам кезекті күте жүріп, қайтыс болуы ықтимал / Человек с низким социальным статусом, скорее всего, умрет, ожидая очереди",Тегін өмірлік медициналық сақтандыру берілуі керек / Должна быть предоставлена ​​бесплатная страховка жизни,Донор болған адам отбасына қомақты қаржы бөлінуі тиіс / Семье донора должна быть выделена крупная сумма денег.
11/21/2024 4:32:48,36-44,Әйел адам / Женщина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,Жоғары білім / Высшее образование,Қала / Город,не имею дохода,"Internet (VK, Instagram, Facebook, Twitter)","Иә, интернет желісіндегі хабарландырулардан көрдім / Да, встречал подобную информацию на просторах интернета",Жоқ / Нет,"Адамның ағза мүшелері медициналық аппарат көмегімен істеп тұрады, адамның миы ешқандай өмірлік белгіні көрсетпейді. / Органы человеческого тела работают с помощью медицинского аппарата, мозг человека не подает никаких признаков жизни",Кез-келген қайтыс болған адам. / Любой умерший человек,,Жабық үлгіде (е.gov.kz сайтында) / В закрытой форме (портал е.gov.kz),Жоқ / Нет,"Ағза мүшелерінің донорлығы – табиғи заңдылыққа қайшы: әр адамға қанша өмір берілсе, сонша өмір сүруі тиіс/ Донорство органов – это противоестественный процесс: все должны жить столько, сколько отпущено","Жоқ, қолдамаймын, қайтыс болған адамнан тек тірі адамнан алуға болмайтын (жүрек, ұйқы безі, көз қарашығы т.б) ағза мүшелерін ғана алу қажет. / Не поддерживаю, допустимо брать только те органы, которые нельзя получить от живого человека (сердце, поджелудочная железа)",Жауап беруге қиналамын / Я затрудняюсь ответить,"Оң көзқарастамын, ағза мүшесін сатқан және сатып алған адамды жазаға тарту мүмкін емес, себебі донор мен реципиент (ағза мүшесін қабылдаушы) мүгедек қатарында болады. / Положительно, донор, который продает орган и реципиент который покупает орган, не могут быть наказаны, так как они являются инвалидами","Қаржылы адамдар бірден шет ел клиникаларында донор тауып, аз уақыт ішінде өмірлерін құтқара алады / Богатые люди могут сразу найти донора в зарубежных клиниках и спасти жизни за короткое время","Тегін өмірлік медициналық сақтандыру берілуі керек / Должна быть предоставлена ​​бесплатная страховка жизни, Әлеуметтік қорғау бойынша әлеуметтік кепілдемелер (жәрдемақы, зейнетақы, әлеуметтік-тұрмыстық қызметте жеңілдіктер, т.б.) қарастырылуы қажет / Должны быть предоставлены государственные гарантии социальной защиты (пособия, пенсии, льготы по социальным услугам и т.д.).",Донор болған адам отбасына қомақты қаржы бөлінуі тиіс / Семье донора должна быть выделена крупная сумма денег.
11/21/2024 4:38:16,36-44,Әйел адам / Женщина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,Жоғары білім / Высшее образование,Қала / Город,250 000-360 000 тенге,"Internet (VK, Instagram, Facebook, Twitter)","Жоқ, ҚР заңнамасы бойынша ағза мүшелерін сату/сатып алу заңсыз деп саналады/ Нет, согласно законодательству РК купля-продажа органов считается незаконной",Жоқ / Нет,"Адам іштей есін білгенімен, сыртқа ешқандай белгі көрсете алмайды. / Хотя человек внутри сознателен, внешне он не может проявлять никаких признаков",Кез-келген қайтыс болған адам. / Любой умерший человек,Келісімнен бас тарттым / Отказался/ась  от согласия,Жабық үлгіде (е.gov.kz сайтында) / В закрытой форме (портал е.gov.kz),Жоқ / Нет,"Ағза мүшелерінің донорлығы – табиғи заңдылыққа қайшы: әр адамға қанша өмір берілсе, сонша өмір сүруі тиіс/ Донорство органов – это противоестественный процесс: все должны жить столько, сколько отпущено","Иә, қолдаймын, қайтыс болған адамның 4-5 ағза мүшесі донорлыққа қолданылса, 4-5 адамның өмірін бірден құтқарады / Поддерживаю, так как это может спасти сразу несколько жизней",Әрқашан дайынмын / Я всегда готов/а,"Оң көзқарастамын, әр адам өз ағза мүшесін коммерциялық жағдайда қолдануға ерікті / Положительно, каждый может использовать свои органы на коммерческой основе","Әлеуметтік жағдайы төмен адам кезекті күте жүріп, қайтыс болуы ықтимал / Человек с низким социальным статусом, скорее всего, умрет, ожидая очереди","Донор болған адамның апталық жүктемесі азайтылуы тиіс (күніне 8 сағаттан аз) / Необходимо снизить рабочую недельную нагрузку донора (менее 8 часов в день) с сохранением прежней заработной платы., Әлеуметтік қорғау бойынша әлеуметтік кепілдемелер (жәрдемақы, зейнетақы, әлеуметтік-тұрмыстық қызметте жеңілдіктер, т.б.) қарастырылуы қажет / Должны быть предоставлены государственные гарантии социальной защиты (пособия, пенсии, льготы по социальным услугам и т.д.).","Донор отбасына әлеуметтік қолдау шаралары (зейнетақы, жәрдемақы, басқа да әлеуметтік көмек шаралары т.б) көрсетілуі тиіс / Семье донора должны быть предусмотрены государственные гарантии по социальной защите (пособия, пенсии, другие льготы в социально-бытовой сфере и т.д.)"
11/21/2024 4:40:15,18-35,Ер адам / Мужчина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,Жоғары білім / Высшее образование,"Республикалық маңызы бар қала (Астана, Алматы, Шымкент) / Город республиканского значения (Астана, Алматы, Шымкент)",370 000-500 000 тенге,"Жоқ, хабарым жоқ / Нет, не информирован/а","Иә, заңсыз трансплантация жасайтын арнайы медициналық орталықтар туралы естігенмін / Да, слышал о существовании специальных медицинских центров, которые проводят нелегальные трансплантации.",Жоқ / Нет,Кез – келген қайтыс болған адамның миы. / Мозг любого умершего человека.,"Жүрегі тоқтап қайтыс болған адам / Человек, умерший от сердечной недостаточности",Келісімнен бас тарттым / Отказался/ась  от согласия,Жабық үлгіде (е.gov.kz сайтында) / В закрытой форме (портал е.gov.kz),Жоқ / Нет,"Ағза мүшелерінің донорлығы – табиғи заңдылыққа қайшы: әр адамға қанша өмір берілсе, сонша өмір сүруі тиіс/ Донорство органов – это противоестественный процесс: все должны жить столько, сколько отпущено","Жоқ, қолдамаймын, қайтыс болған адамнан тек тірі адамнан алуға болмайтын (жүрек, ұйқы безі, көз қарашығы т.б) ағза мүшелерін ғана алу қажет. / Не поддерживаю, допустимо брать только те органы, которые нельзя получить от живого человека (сердце, поджелудочная железа)",Дайын сияқтымын / Я чувствую себя готовым,"Теріс көзқарастамын, бұл адам саудасына алып келетін жағдай / Отрицательно, это ситуация, которая приводит к торговле людьми",Кез-келген ҚР азаматы шет елде мемлекет есебінен ағза мүшелерінің донорлығына  байланысты трансплантация жасата алады / Любой гражданин РК может найти донора и осуществить трансплантацию за границей за счет государства,Тегін өмірлік медициналық сақтандыру берілуі керек / Должна быть предоставлена ​​бесплатная страховка жизни,"Донор отбасына әлеуметтік қолдау шаралары (зейнетақы, жәрдемақы, басқа да әлеуметтік көмек шаралары т.б) көрсетілуі тиіс / Семье донора должны быть предусмотрены государственные гарантии по социальной защите (пособия, пенсии, другие льготы в социально-бытовой сфере и т.д.)"
11/21/2024 4:42:57,36-44,Әйел адам / Женщина,Жұмысшы / Рабочий/ в сфере услуги обслуживания,Жоғары білім / Высшее образование,Қала / Город,250 000-360 000 тенге,"Жоқ, хабарым жоқ / Нет, не информирован/а","Иә, интернет желісіндегі хабарландырулардан көрдім / Да, встречал подобную информацию на просторах интернета",Жоқ / Нет,Адам ұзақ уақытқа комада ұйқыға кетеді / Человек в коме надолго засыпает,Кез-келген қайтыс болған адам. / Любой умерший человек,Келісімнен бас тарттым / Отказался/ась  от согласия,Жабық үлгіде (е.gov.kz сайтында) / В закрытой форме (портал е.gov.kz),Иә / Да,"Жүрек, ұйқы безі, бауыр т.б. ағзаларды тірі адамнан алуға келмейтіндіктен, қайтыс болған адамнан алу тиімді / Допустимо только в случаях когда нужен непарный жизненно важный орган (например сердце, поджелудочная железа)","Иә,  қайтыс болған адам қайта тірілмейді, тірі адамның өмірін құтқару маңызды / Поддерживаю, так как важнее спасти живых",Әрқашан дайынмын / Я всегда готов/а,"Теріс көзқарастамын, бұл адам саудасына алып келетін жағдай / Отрицательно, это ситуация, которая приводит к торговле людьми","Әлеуметтік жағдайы төмен адам кезекті күте жүріп, қайтыс болуы ықтимал / Человек с низким социальным статусом, скорее всего, умрет, ожидая очереди",Тегін өмірлік медициналық сақтандыру берілуі керек / Должна быть предоставлена ​​бесплатная страховка жизни,"Донор отбасына әлеуметтік қолдау шаралары (зейнетақы, жәрдемақы, басқа да әлеуметтік көмек шаралары т.б) көрсетілуі тиіс / Семье донора должны быть предусмотрены государственные гарантии по социальной защите (пособия, пенсии, другие льготы в социально-бытовой сфере и т.д.)"
